benign_test_size,compile_ok,condition_clause_count,condition_length,f1,family,fpr_benign,off_target_rate,other_test_size,precision,recall,rule_bytes,rule_complexity,rule_specificity,rule_string_count,scan_error_count,scan_seconds,status,target_test_size,tpr_target
31,True,1,9,0.923077,copperhedge,0.0,0.0,744,1.0,0.857143,680,9,1.0,8,0,1.209407,ok,7,0.857143
31,True,1,9,0.857143,crat,0.0,0.0,743,1.0,0.75,398,7,1.0,6,0,1.09114,ok,8,0.75
31,True,1,9,0.769231,crimson,0.0,0.004021,746,0.625,1.0,452,7,0.995979,6,0,1.112306,ok,5,1.0
31,True,1,9,0.526316,cryptoshuffler,0.0,0.012064,746,0.357143,1.0,1401,21,0.987936,20,0,1.195405,ok,5,1.0
31,True,1,9,0.0,cryptowall,0.0,0.0,748,0.0,0.0,448,8,1.0,7,0,1.007124,ok,3,0.0
31,True,5,179,0.333333,cryptxxx,0.0,0.001339,747,0.5,0.25,702,13,0.998661,8,0,1.430652,ok,4,0.25
31,True,4,183,0.0,danabot,0.0,0.0,748,0.0,0.0,590,8,1.0,4,0,1.26016,ok,3,0.0
31,True,1,9,1.0,datper,0.0,0.0,748,1.0,1.0,412,7,1.0,6,0,1.051599,ok,3,1.0
31,True,1,9,0.0,deloader,0.0,0.0,748,0.0,0.0,792,13,1.0,12,0,1.141384,ok,3,0.0
,False,0,0,0.0,dharma,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,1,9,0.857143,discordiaminer,0.0,0.001337,748,0.75,1.0,611,12,0.998663,11,0,1.263235,ok,3,1.0
31,True,3,89,0.0,downdelph,0.0,0.0,746,0.0,0.0,617,13,1.0,10,0,1.366563,ok,5,0.0
31,True,1,9,0.0,dreambot,0.0,0.0,744,0.0,0.0,435,7,1.0,6,0,1.190816,ok,7,0.0
,False,0,0,0.0,dridex,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,4,181,0.956522,egregor,0.0,0.0,739,1.0,0.916667,910,20,1.0,16,0,1.493927,ok,12,0.916667
31,True,1,9,0.5,emotet,0.0,0.0,745,1.0,0.333333,543,10,1.0,9,0,1.154802,ok,6,0.333333
31,True,1,9,0.0,evotob,0.0,0.0,748,0.0,0.0,291,3,1.0,2,0,0.990841,ok,3,0.0
31,True,1,9,0.285714,fallchill,0.0,0.00134,746,0.5,0.2,422,7,0.99866,6,0,1.100712,ok,5,0.2
31,True,1,9,0.5,flawedammyy,0.0,0.0,745,1.0,0.333333,716,15,1.0,14,0,1.264684,ok,6,0.333333
31,True,1,9,0.888889,flokibot,0.0,0.0,746,1.0,0.8,658,13,1.0,12,0,1.314303,ok,5,0.8
31,True,1,9,0.666667,formbook,0.0,0.0,749,1.0,0.5,414,7,1.0,6,0,1.031876,ok,2,0.5
31,True,1,9,0.0,foudre,0.0,0.001337,748,0.0,0.0,535,10,0.998663,9,0,1.267219,ok,3,0.0
31,True,5,178,0.142857,gandcrab,0.0,0.0,738,1.0,0.076923,992,21,1.0,16,0,1.490575,ok,13,0.076923
31,True,5,183,0.5,gozi,0.0,0.00134,746,0.666667,0.4,700,14,0.99866,9,0,1.316312,ok,5,0.4
31,True,5,179,0.0,goznym,0.0,0.0,748,0.0,0.0,784,15,1.0,10,0,1.40304,ok,3,0.0
31,True,5,171,1.0,greendispenser,0.0,0.0,749,1.0,1.0,906,19,1.0,14,0,1.535506,ok,2,1.0
31,True,1,9,0.909091,hoplight,0.0,0.0,745,1.0,0.833333,1293,13,1.0,12,0,1.245109,ok,6,0.833333
31,True,5,202,0.226415,icedid,0.0,0.00565,708,0.6,0.139535,709,11,0.99435,6,0,1.445468,ok,43,0.139535
31,True,5,205,0.461538,indigodrop,0.0,0.0,741,1.0,0.3,792,13,1.0,8,0,1.335477,ok,10,0.3
